Name,Trend,Prize,Tournaments,,,
Dota2,3861,"$228,207,031.51",1454,,,
Counter-Strike: Global Offensive,13142,"$103,605,171.63",5315,,,
Fortnite,4453,"$99,349,617.41",672,,,
League of Legends,7137,"$81,495,201.49",2479,,,
StarCraft II,2084,"$34,243,237.96",5962,,,
Overwatch,3494,"$26,049,333.28",743,,,
PUBG,2822,"$24,391,303.57",300,,,
Hearthstone,2431," $23,651,978.24",901,,,
Heroes of the Storm,1253,"$18,188,482.65",475,,,
Arena of Valor,558,"$15,228,710.62",51,,,
Counter-Strike,4137,"$13,494,229.57",995,,,
Rainbow Six Siege,1552,"$12,214,525.74",228,,,
Rocket League,1096,"$9,172,179.32",1090,,,
SMITE,522,"$8,640,112.75",95,,,
StarCraft: Brood War,680,"$8,376,408.43",586,,,
Halo 5: Guardians,233,"$7,071,480.97",75,,,
Call of Duty: Black Ops 4,380,"$6,731,938.95",68,,,
Call of Duty: Modern Warfare,257,"$6,617,284.50",45,,,
CrossFire,629,"$6,497,845.02",308,,,
WarCraft III,558,"$5,811,479.73",1335,,,
Magic: The Gathering Arena,232,"$5,512,000.00",36,,,
World of WarCraft,413,"$4,957,837.61",118,,,
Call of Duty: World War II,266,"$4,559,271.00",64,,,
Apex Legends,1166,"$4,528,141.69",249,,,
Call of Duty: Infinite Warfare,341,"$4,156,205.06",80,,,
Call of Duty: Black Ops III,419,"$3,939,783.29",78,,,
PUBG Moblie,1081,"$3,839,853.07",40,,,
World of Tanks,403,"$3,656,496.59",50,,,
Clash Royale,290,"$3,363,348.27",51,,,
FIFA 19,303,"$3,242,642.34",48,,,
