Name,Player count
Crossfire,"1,000,000,000"
Dungeon Fighter Online,"700,000,000"
Minecraft,"600,000,000"
PlayerUnknown's Battlegrounds,"600,000,000"
Pac-Man Doodle,"505,000,000"
QQ Speed,"500,000,000"
Candy Crush Saga,"500,000,000"
Tetris,"500,000,000"
Microsoft Solitaire,"400,000,000"
Mini World,"400,000,000"
Crazyracing Kartrider,"380,000,000"
Fortnite,"350,000,000"
Fantasy Westward Journey,"310,000,000"
RuneScape,"280,000,000"
Rules of Survival,"230,000,000"
Dragon Nest,"200,000,000"
MapleStory,"180,000,000"
Roblox,"164,000,000"
Animal Jam,"160,000,000"
World of Tanks,"160,000,000"
