Name,Prize
Dota2,228207031.51 
Counter-Strike: Global Offensive,103605171.63 
Fortnite,99349617.41 
League of Legends,81495201.49 
StarCraft II,34243237.96 
Overwatch,26049333.28 
PUBG,24391303.57 
Hearthstone,23651978.24 
Heroes of the Storm,18188482.65 
Arena of Valor,15228710.62 
Counter-Strike,13494229.57 
Rainbow Six Siege,12214525.74 
Rocket League,9172179.32 
SMITE,8640112.75 
StarCraft: Brood War,8376408.43 
Halo 5: Guardians,7071480.97 
Call of Duty: Black Ops 4,6731938.95 
Call of Duty: Modern Warfare,6617284.50 
CrossFire,6497845.02 
WarCraft III,5811479.73 
Magic: The Gathering Arena,5512000.00 
World of WarCraft,4957837.61 
Call of Duty: World War II,4559271.00 
Apex Legends,4528141.69 
Call of Duty: Infinite Warfare,4156205.06 
Call of Duty: Black Ops III,3939783.29 
PUBG Moblie,3839853.07 
World of Tanks,3656496.59 
Clash Royale,3363348.27 
FIFA 19,3242642.34 
