Name,Tournaments
StarCraft II,5962
Counter-Strike: Global Offensive,5315
League of Legends,2479
Dota2,1454
WarCraft III,1335
Rocket League,1090
Counter-Strike,995
Hearthstone,901
Overwatch,743
Fortnite,672
StarCraft: Brood War,586
Heroes of the Storm,475
CrossFire,308
PUBG,300
Apex Legends,249
Rainbow Six Siege,228
World of WarCraft,118
SMITE,95
Call of Duty: Infinite Warfare,80
Call of Duty: Black Ops III,78
Halo 5: Guardians,75
Call of Duty: Black Ops 4,68
Call of Duty: World War II,64
Arena of Valor,51
Clash Royale,51
World of Tanks,50
FIFA 19,48
Call of Duty: Modern Warfare,45
PUBG Moblie,40
Magic: The Gathering Arena,36
