Name,Trend
Counter-Strike: Global Offensive,13142
League of Legends,7137
Fortnite,4453
Counter-Strike,4137
Dota2,3861
Overwatch,3494
PUBG,2822
Hearthstone,2431
StarCraft II,2084
Rainbow Six Siege,1552
Heroes of the Storm,1253
Apex Legends,1166
Rocket League,1096
PUBG Moblie,1081
StarCraft: Brood War,680
CrossFire,629
Arena of Valor,558
WarCraft III,558
SMITE,522
Call of Duty: Black Ops III,419
World of WarCraft,413
World of Tanks,403
Call of Duty: Black Ops 4,380
Call of Duty: Infinite Warfare,341
FIFA 19,303
Clash Royale,290
Call of Duty: World War II,266
Call of Duty: Modern Warfare,257
Halo 5: Guardians,233
Magic: The Gathering Arena,232
