Column1,Player ID,Player Name,Total (Overall)
1,N0tail,Johan Sundstein,"6,944,322.80"
2,JerAx,Jesse Vainikka,"6,470,548.78"
3,ana,Anathan Pham,"6,000,411.96"
4,Ceb,Sébastien Debs,"5,534,297.41"
5,Topson,Topias Taavitsainen,"5,450,902.57"
6,KuroKy,Kuro Takhasomi,"5,190,106.15"
7,Miracle-,Amer Al-Barkawi,"4,793,043.68"
8,MinD_ContRoL,Ivan Ivanov,"4,574,118.16"
9,GH,Maroun Merhej,"4,187,051.24"
10,Matumbaman,Lasse Urpalainen,"3,759,369.04"
11,SumaiL,Sumail Hassan,"3,608,317.34"
12,Bugha,Kyle Giersdorf,"3,154,061.72"
13,UNiVeRsE,Saahil Arora,"3,057,237.67"
14,ppd,Peter Dager,"3,023,331.36"
15,Somnus?M,Lu Yao,"2,984,982.14"
16,fy,"Xu, Linsen","2,894,690.34"
17,Puppey,Clement Ivanov,"2,859,074.23"
18,Fear,Clinton Loomis,"2,553,013.19"
19,s4,Gustav Magnusson,"2,546,684.91"
20,Zai,Ludwig Wåhlberg,"2,518,229.02"
21,Fly,Tal Aizik,"2,398,570.81"
22,w33,Aliwi Omar,"2,270,625.58"
23,Arteezy,Artour Babaev,"2,257,053.21"
24,Ame,"Wang, Chunyu","2,244,012.27"
25,y`,Zhang Yiping,"2,097,095.28"
26,Faith_bian,Zhang Ruida,"2,078,534.86"
27,Cr1t,Andreas Nielsen,"2,007,841.60"
28,Aui_2000,Kurtis Ling,"2,006,311.11"
29,iceice,"Li, Peng","2,002,159.51"
30,Shadow,Chu Zeyu,"1,982,225.70"
31,bLink,Zhou Yang,"1,960,956.47"
32,psalm,Harrison Chang,"1,957,350.00"
33,Aqua,David Wang,"1,928,774.23"
34,xNova,"Yap, Jianwei","1,882,492.98"
35,Chalice,"Yang, Shenyi","1,848,849.88"
36,xiao8,"Zhang, Ning","1,837,534.96"
37,kpii,Damien Chok,"1,809,225.30"
38,dupreeh,Peter Rasmussen,"1,808,822.74"
39,RAMZES666,Roman Kushnarev,"1,787,296.92"
40,KaKa,"Hu, Liangzhi","1,787,083.53"
41,Xyp9x,Andreas Højsleth,"1,786,791.80"
42,Solo,Alexei Berezin,"1,777,625.61"
43,dev1ce,Nicolai Reedtz,"1,774,445.97"
44,Faith,"Zeng, Hongda","1,764,520.75"
45,MidOne,"Zheng, Yeik Nai","1,761,891.47"
46,Hao,"Chen, Zhihao","1,761,646.83"
47,9pasha,Pavel Khvastunov,"1,713,179.57"
48,gla1ve,Lukas Rossander,"1,643,109.07"
49,Super,"Xie, Junhao","1,618,523.14"
50,Noone,Vladimir Minenko,"1,616,823.45"
51,iceiceice,"Koh, Daryl Pei Xiang","1,555,661.96"
52,Nyhrox,Emil Bergquist Pedersen,"1,536,845.69"
53,YapzOr,Yazied Jaradat,"1,527,698.67"
54,MiSeRy,Rasmus Fillipsen,"1,485,691.67"
55,Resolut1on,Roman Fominok,"1,459,970.75"
56,Magisk,Emil Reif,"1,402,281.97"
57,Fenrir,"Lu, Chao","1,402,208.92"
58,Mu,"Zhang, Pan","1,390,711.71"
59,EpikWhale,Shane Cotton,"1,349,767.32"
60,LaNm,"Zhang, Zhicheng","1,349,257.35"
61,DDC,"Liang, Fa Ming","1,345,435.47"
62,Wolfiez,Jaden Ashman,"1,331,128.07"
63,RodjER,Vladimir Nikogosyan,"1,319,834.13"
64,FATA,Adrian Trinks,"1,314,718.82"
65,Banana,"Jiao, Wang","1,283,122.84"
66,Sccc,"Song, Chun","1,272,450.74"
67,Faker,"Lee, Sang Hyeok","1,257,615.87"
68,Moogy,Xu Han,"1,221,917.10"
69,Sylar,"Liu, Jiajun","1,218,812.19"
70,Rojo,Dave Jong,"1,213,576.66"
71,eLeVeN,Ren Yangwei,"1,211,710.47"
72,SanSheng,"Wang, Zhaohui","1,211,061.38"
73,Kreo,Nate Kou,"1,200,043.07"
74,Yao,"Yao, Zhengzheng","1,192,081.08"
75,Zayt,Williams Aubin,"1,186,914.75"
76,Crimsix,Ian Porter,"1,158,159.47"
77,Saf,Rocco Morales,"1,126,345.35"
78,MMY!,"Lei, Zengrong","1,112,600.81"
79,Ceice,Davis McClellan,"1,109,880.47"
80,Clayster,James Eubanks,"1,108,796.68"
81,Stewie2k,Jakey Yip,"1,088,290.00"
82,Q,"Fu, Bin","1,081,544.74"
83,FalleN,Gabriel Toledo,"1,067,842.41"
84,TACO,Epitácio de Melo,"1,063,858.27"
85,fer,Fernando Alvarenga,"1,054,943.90"
86,Saksa,Martin Sazdov,"1,026,689.75"
87,Mushi,"Chai, Yee Fung","1,023,869.17"
88,coldzera,Marcelo David,"1,021,901.46"
89,kinG,Thiago Lapp,"1,021,150.00"
90,feg,- -,"1,003,000.00"
91,Paparazi,"Zhang, Chengjun","1,001,723.80"
92,sasamumu,- -,"1,000,000.00"
93,karrigan,Finn Andersen,"994,422.11"
94,Elevate,Hayden Krueger,"992,733.20"
95,pieliedie,Johan Åström,"989,390.86"
96,EternaLEnVy,Jacky Mao,"987,072.69"
97,NAF,Keith Markovic,"982,765.66"
98,Duke,"Lee, Ho Seong","954,620.62"
99,ELiGE,Jonathan Jablonowski,"931,946.42"
100,Nisha,Micha? Jankowski,"927,853.71"
